1, Dunham's Sports, Team Member, "West Bloomfield, Michigan", June 2022, May 2024, Seasonal
1, SpartanTutors, Tutor, "Lansing, Michigan", September 2023, April 2024, Part Time
1, Michigan State University, Software Developer, "East Lansing, Michigan", August 2023, December 2023, Full Time
1, Staples, Sales Associate, "lansing, Michigan", February 2023, April 2023, Part Time
