1, Algorithms and Data Structures, CSE 331
1, Object-Oriented Software Design, CSE 335
1, Algorithm Engineering, CSE 431
1, Mobile Application Development, CSE 476
1, Web Application Development, CSE 477
1, Collaborative Design (Capstone Program), CSE 498
